video_pth,text
jo-aud/IvFnMosWSx8-1844.wav,"بالسلامِة حبيبي يا بابا
 تروح وترجع يا غالي"
jo-aud/IvFnMosWSx8-1845.wav,"يا دموع العين سكابا 
عاللي دنيانا مالي"
jo-aud/IvFnMosWSx8-1846.wav,"بالسلامِة حبيبي يا بابا
 تروح وترجع يا غالي"
jo-aud/IvFnMosWSx8-1847.wav,"يا دموع العين سكابا 
عاللي دنيانا مالي"
jo-aud/IvFnMosWSx8-1848.wav,"مين يحن علينا مين
 من بعدك يا نور العين"
jo-aud/IvFnMosWSx8-1849.wav,"بحضنو يجمعنا كل حين
 ويغمرنا بالدلالِ"
jo-aud/IvFnMosWSx8-1850.wav,"بالسلامِة حبيبي يا بابا
 تروح وترجع يا غالي"
jo-aud/IvFnMosWSx8-1851.wav,"يا دموع العين سكابا 
عاللي دنيانا مالي"
jo-aud/IvFnMosWSx8-1852.wav,"بالسلامِة حبيبي يا بابا
 تروح وترجع يا غالي"
jo-aud/IvFnMosWSx8-1853.wav,"يا دموع العين سكابا 
عاللي دنيانا مالي"
jo-aud/IvFnMosWSx8-1854.wav,"إحنا وماما بنستناك
 نطلع نتسلى معاك"
jo-aud/IvFnMosWSx8-1855.wav,"نلعب ونمرح ونتحدّاك
 وتطيّرنا بالعالي"
jo-aud/IvFnMosWSx8-1856.wav,"بالسلامِة حبيبي يا بابا
 تروح وترجع يا غالي"
jo-aud/IvFnMosWSx8-1857.wav,"يا دموع العين سكابا 
عاللي دنيانا مالي"
jo-aud/IvFnMosWSx8-1858.wav,"بالسلامِة حبيبي يا بابا
 تروح وترجع يا غالي"
jo-aud/IvFnMosWSx8-1859.wav,"يا دموع العين سكابا 
عاللي دنيانا مالي"
jo-aud/IvFnMosWSx8-1860.wav,"لا لا تطوِّل الغيبِة
 يا بابا يا حبيبي"
jo-aud/IvFnMosWSx8-1861.wav,"بدعي ربي من قلبي
 يسهل دربك يا غالي"
jo-aud/IvFnMosWSx8-1862.wav,"بالسلامِة حبيبي يا بابا
 تروح وترجع يا غالي"
jo-aud/IvFnMosWSx8-1863.wav,"يا دموع العين سكابا 
عاللي دنيانا مالي"
jo-aud/IvFnMosWSx8-1864.wav,"بالسلامِة حبيبي يا بابا
 تروح وترجع يا غالي"
jo-aud/IvFnMosWSx8-1865.wav,"يا دموع العين سكابا 
عاللي دنيانا مالي"
jo-aud/_WMhouUat5c-3495.wav,السلام عليكم مقدمكم الدكتور فارس عرب
jo-aud/_WMhouUat5c-3496.wav,إذا كنت رجلاً يعاني من مشاكل في الانتصاب 
jo-aud/_WMhouUat5c-3497.wav, أو امرأة تعاني من انخفاض في الرغبة الجنسية
jo-aud/_WMhouUat5c-3498.wav,فأنت لست وحيدا. 
jo-aud/_WMhouUat5c-3499.wav,فانا سوف اساعدك. اليوم رح ناقش العقار رقم 1 او الدواء الأكثر وصفًا وشعبية، 
jo-aud/_WMhouUat5c-3500.wav,وبنفس الوقت أحد أكبر أسباب العجز الجنسي. 
jo-aud/_WMhouUat5c-3501.wav,وفي نهاية الحلقة رح اكشف عن الوصفة الطبيعية التي استخدمها شخصيا لعلاج هذه المشكلة. 
jo-aud/_WMhouUat5c-3502.wav,لذلك تابع للنهاية واشترك بالقناة على اليوتيوب او الفيس بوك 
jo-aud/_WMhouUat5c-3503.wav,لأنه عندي مقاطع فيديو تشرح اسرار مهمة جدا حتصدر حول هذا الموضوع ولا أريدها أن تفوتك
jo-aud/_WMhouUat5c-3504.wav,معظم الرجال لا يفكرون كثيرا في الأدوية التي يتناولونها، 
jo-aud/_WMhouUat5c-3505.wav,فيثقون بالشركات المصنعة وقد يطلبون المزيد من مصادر قد تكون غير موثوقة حتى، 
jo-aud/_WMhouUat5c-3506.wav,لكي يستمروا بالحياة بدون تغيير في اختياراتهم الغذائية وعاداتهم الصحية، 
jo-aud/_WMhouUat5c-3507.wav,"والتي يمكن أن تسبب مشاكل في الانتصاب, "
jo-aud/_WMhouUat5c-3508.wav,ومضاعفات الأدوية الجانبية بالتأكيد تزيد هذا الوضع سوءًا.
jo-aud/_WMhouUat5c-3509.wav,يجب علينا تغيير هذا المفهوم. 
jo-aud/_WMhouUat5c-3510.wav,فالمثل الشائع يقول لا يمكنك أن تفعل الشيء نفسه وتتوقع نتائج مختلفة
jo-aud/_WMhouUat5c-3511.wav,"طيب لندخل صلب الموضوع فجميعنا يكره المقدمات, "
jo-aud/_WMhouUat5c-3512.wav,ما هو الدواء الأكثر وصفًا وشيوعا ويسبب ضعف الانتصاب وانخفاض في الرغبة الجنسية؟ 
jo-aud/_WMhouUat5c-3513.wav,في المرتبة الاولى من اسوء الأدوية يأتي أدوية ضغط الدم 
jo-aud/_WMhouUat5c-3514.wav,وفي المرتبة الثانية تأتي مضادات الاكتئاب والأدوية النفسية الأخرى.
jo-aud/_WMhouUat5c-3515.wav,ارتفاع ضغط الدم عبئ على القلب ويسبب مشاكل جنسية بشكل عام 
jo-aud/_WMhouUat5c-3516.wav,بسبب تصلب الشرايين وضعف تدفق الدم والضغط على الأوعية الدموية.
jo-aud/_WMhouUat5c-3517.wav,يوجد أكثر من 35 دواء مختلف لعلاج ارتفاع ضغط الدم،
jo-aud/_WMhouUat5c-3518.wav,"وكلها تسبب مشاكل الانتصاب وانخفاض الرغبة الجنسية,"
jo-aud/_WMhouUat5c-3519.wav,ليس فقط لدى الرجال بل لدى النساء أيضًا.
jo-aud/_WMhouUat5c-3520.wav,"ولسوء الحظ، لا يمكنك التوقف عن تناول أدوية ضغط الدم ببساطه, "
jo-aud/_WMhouUat5c-3521.wav,لان ارتفاع ضغط الدم يسبب أمراض اكثر حده مثل النوبات القلبية والسكتة الدماغية.
jo-aud/_WMhouUat5c-3522.wav,إذن ما الحل؟ الحل هو أن تخفض ضغط الدم بحلول طبيعية.
jo-aud/_WMhouUat5c-3523.wav,"كما انصح جميع عملائي دائما, الحل هو الاسراع بالعودة للطبيعة وعدم ادمان الأدوية، "
jo-aud/_WMhouUat5c-3524.wav,ففي معظم الأحيان انت لست بحاجة لتناول الأدوية المزمنة 
jo-aud/_WMhouUat5c-3525.wav,لإصلاح التحديات الصحية التي تواجهك، 
jo-aud/_WMhouUat5c-3526.wav,يكمن الحل دائما في اكتشاف واصلاح الخلل في نمط الحياه.
jo-aud/_WMhouUat5c-3527.wav,لنبدأ أولا بالتعرف على ضغط الدم الطبيعي. 
jo-aud/_WMhouUat5c-3528.wav,ضغط الدم الطبيعي اثناء انقباض القلب 
jo-aud/_WMhouUat5c-3529.wav,هو ما بين 90- 120 مم زئبقي ويسمى systolic 
jo-aud/_WMhouUat5c-3530.wav,واثناء ارتخاء القلب هو ما بين ٦٠-٨٠ مم زئبقي ويسمى Diastolic
jo-aud/_WMhouUat5c-3531.wav,في أي وقت اذا حصلت على قيم اعلى من ذلك يعتبر ضغط الدم مرتفع ويجب اتباع النصائح التاليه:
jo-aud/_WMhouUat5c-3532.wav,اليك ٥ نصائح لخفض ضغط الدم المرتفع بشكل طبيعي التي تساعد في إصلاح أي مشاكل في الانتصاب
jo-aud/_WMhouUat5c-3533.wav,١ الكيتو دايت الصحي
jo-aud/_WMhouUat5c-3534.wav,الكربوهيدرات والسكر تحبس وترفع كميه السوائل في الجسم 
jo-aud/_WMhouUat5c-3535.wav,واذا اطلعت على طريقه عمل ادويه الضغط
jo-aud/_WMhouUat5c-3536.wav,ستتعلم ان معظمها يعمل على زياده طرح سوائل الجسم 
jo-aud/_WMhouUat5c-3537.wav,المصنفة بكلاس مدرات البول diuretics  
jo-aud/_WMhouUat5c-3538.wav,وهذا قانون فيزيائي حبس السوائل في وعاء ضيق يرفع الضغط. 
jo-aud/_WMhouUat5c-3539.wav,هنا يتألق نظام الكيتو دايت الصحي محدود الكربوهيدرات 
jo-aud/_WMhouUat5c-3540.wav,بمنع تراكم سوائل الجسم بشكل طبيعي.
jo-aud/_WMhouUat5c-3541.wav,للمزيد حول فوائد الكيتو دايت شاهد الرابط في صندوق الوصف.
jo-aud/_WMhouUat5c-3542.wav,٢ الصيام المتقطع 
jo-aud/_WMhouUat5c-3543.wav,الصيام لمده ١٦ ساعة في اليوم يقلل الالتهابات 
jo-aud/_WMhouUat5c-3544.wav,ويعيد ترميم جدران الأوعية الدموية من خلال خاصيه الالتهام الذاتي او autophagy
jo-aud/_WMhouUat5c-3545.wav,٣ الفيتامينات الخاصه
jo-aud/_WMhouUat5c-3546.wav,تناول جرعات يوميه من فيتامينات  k2 D3  
jo-aud/_WMhouUat5c-3547.wav,"معا بشكل خاص, هذا الخليط يساعد على توفير الكالسيوم لانقباض العضلات "
jo-aud/_WMhouUat5c-3548.wav,"وإزالة الكميه الزائدة من الشرايين واعادتها للعظام, "
jo-aud/_WMhouUat5c-3549.wav,وهذا يعمل على تحسين تدفق الدورة الدموية ويجعل الشرايين أكثر مرونة.
jo-aud/_WMhouUat5c-3550.wav,٤ المعادن الخاصه
jo-aud/_WMhouUat5c-3551.wav,تناول جرعات يوميه من معادن البوتاسيوم والمغنيسيوم
jo-aud/_WMhouUat5c-3552.wav,كلما زادت كمية البوتاسيوم التي تتناولها، زاد فقدان الصوديوم عن طريق البول. 
jo-aud/_WMhouUat5c-3553.wav,يساعد البوتاسيوم أيضًا في تخفيف التوتر على جدران الأوعية الدموية، 
jo-aud/_WMhouUat5c-3554.wav,اما المغنيسيوم فيعمل كمانع طبيعي لقنوات الكالسيوم 
jo-aud/_WMhouUat5c-3555.wav,ويحث على توسع الأوعية الدموية وبذلك يخفض ضغط الدم بشكل طبيعي.
jo-aud/_WMhouUat5c-3556.wav,اوصيك بزيادة استهلاك هذه المعادن من خلال النظام الغذائي 
jo-aud/_WMhouUat5c-3557.wav,بتناول ٦-٧ اكواب من الخضراوات النيئة 
jo-aud/_WMhouUat5c-3558.wav,"مع بعض المكسرات النيئة يوميا, "
jo-aud/_WMhouUat5c-3559.wav,وهذا يوفي حاجه الجسم من البوتاسيوم والمغنيسيوم 
jo-aud/_WMhouUat5c-3560.wav,واي معادن أخرى يحتاجها جسمك. 
jo-aud/_WMhouUat5c-3561.wav,لمزيد من التفاصيل شاهد الرابط في صندوق الوصف. 
jo-aud/_WMhouUat5c-3562.wav,تحذير: استشر طبيبك أولا اذا كنت تعاني من مشاكل في الكلى قبل تناول البوتاسيوم.
jo-aud/_WMhouUat5c-3563.wav,٥ تقليل الكورتزول (هرمون التوتر) 
jo-aud/_WMhouUat5c-3564.wav,كيف تعرف بان هرمون التوتر مرتفع لديك؟ 
jo-aud/_WMhouUat5c-3565.wav,عندما تشعر بالتوتر جرب قياس ضغط دمك 
jo-aud/_WMhouUat5c-3566.wav,سترى ان الضغط اثناء انقباض القلب اوpressure systolic مرتفع 
jo-aud/_WMhouUat5c-3567.wav,بدون تغيير في ضغط ارتخاء القلب Diastolic. 
jo-aud/_WMhouUat5c-3568.wav,"التوتر كارثه حقيقيه على مريض ضغط الدم, "
jo-aud/_WMhouUat5c-3569.wav,يمكنك الحد من التوتر اليومي عن طريق ممارسه الرياضة 
jo-aud/_WMhouUat5c-3570.wav,مثل رفع الاوزان والسباحة والجري 
jo-aud/_WMhouUat5c-3571.wav,"او أي رياضه أخرى تشعر بالسعادة اثناء ممارستها, "
jo-aud/_WMhouUat5c-3572.wav,يكفي ٣-٤ ساعات في الأسبوع.
jo-aud/_WMhouUat5c-3573.wav,بعد مضي فتره من الزمن بحدود ٤-٦ أسابيع مع تطبيق هذه النصائح 
jo-aud/_WMhouUat5c-3574.wav,"سترى ان ضغط دمك سوف يعتدل, "
jo-aud/_WMhouUat5c-3575.wav,وبعدها تحت اشراف طبيبك بإمكانك التدرج بالتخلص من ادويه ارتفاع ضغط الدم 
jo-aud/_WMhouUat5c-3576.wav,هذا كل شيء أتمنى ان يكون تقديمي للمحتوى ذو فأئده. 
jo-aud/_WMhouUat5c-3577.wav,إذا شايف انه مفيد اعطيني لايك او دسلايك إذا شايف انه يمكن ان يكون أفضل. 
jo-aud/_WMhouUat5c-3578.wav,إذا عندك أي استفساراك اتركها بالتعليقات. 
jo-aud/_WMhouUat5c-3579.wav,اشترك بالقناة على اليوتيوب او على الفيس بوك والإنستاغرام. 
jo-aud/_WMhouUat5c-3580.wav,معكم الدكتور فارس واراكم بحلقه اخرى بإذن الله تعالى. وأتمنى لكم دوام الصحة والعافية
